,agencyID,agencyName
1,3,Stagecoach South Wales
3,FirtCymuBussLtd,First Cymru Buses Ltd
7,FirtCymuBussLtd.,First Cymru Buses Ltd.
22,LlewJonsCoas,Llew Jones Coaches
28,ArraCymu,Arriva Cymru
31,TANV,Tanat Valley Coaches
37,CarfBus,Cardiff Bus
39,RicsBros,Richards Bros
40,NADT,Adventure Travel
55,AdveTral,Adventure Travel
64,GwyrCoas,Gwynfor Coaches
67,NWPT,Newport Bus
69,LlosCoas,Lloyds Coaches
70,SarsBros,Sargents Brothers
81,CelcTral,Celtic Travel
95,SSWL,Stagecoach South Wales
104,MHCO,M & H Coaches
110,FCYM,First Cymru
128,ORJons&SonsLtd,O R Jones & Sons Ltd
129,BERW,Berwyn Coaches
139,ACYM,Arriva Cymru
145,NewtBus,Newport Bus
149,P&OLlod,P & O Lloyd
166,PhilAnsw,Phil Anslow
179,SouhWalsTrat,South Wales Transport
184,Caei,Caelloi
188,RBRO,Richards Bros
212,EdwsCoas,Edwards Coaches
235,M&HCoas,M & H Coaches
250,SWTR,South Wales Transport
252,MoneCouyCou,Monmouthshire County Cou
256,MorsTral,Morris Travel
261,TantValyCoas,Tanat Valley Coaches
276,Dana,Dansa
279,SarsBrosCoae,Sargents Brothers Coache
286,TafValyCoas,Taf Valley Coaches
289,BernCoas,Berwyn Coaches
291,JAEvas,J A Evans
300,ForeTral,Forge Travel
318,Clyg&Tren,Clynnog & Trefor/Berwyn 
319,HarsCoas,Harris Coaches
321,LewsYLlan,Lewis Y Llan
338,Hens,Henleys
349,NefnCoas,Nefyn Coaches
356,K&PCoas,K & P Coaches
387,DilsCoas,Dilwyn's Coaches
391,GWCO,Gwynfor Coaches
396,DWYN,Dilwyn's Coaches
400,NickMadyCoas,Nick Maddy Coaches
409,Rids,Ridgways
419,OperLLCO,Operator LLCO
444,EifsCoas,Eifion's Coaches
449,ThosofRhoa,Thomas of Rhondda
459,MidWalsTral,Mid Wales Travel
467,PatsCoas,Pat's Coaches
473,PemeCouyCou,Pembrokeshire County Cou
478,Con2,Connect2
481,OWNC,Owens of Oswestry
483,PetsMinsHire,Peter's Minibus Hire
509,YeosCannTral,Yeomans Canyon Travel
517,PeynTralLtd,Peyton Travel Ltd
523,PRTH,Thomas of Rhondda
535,KeesCoas,Keepings Coaches
564,Towx,Townlynx
568,SeltCoas,Select Coaches
581,OwesofOswy,Owens of Oswestry
600,JonsLogn,Jones Login
613,MinyMots,Ministerley Motors
626,WremTaxs,Wrexham Taxis
669,Goor,Goodsir
703,DeneCoul,Denbighshire Council
713,Vals,Valentines
726,MidWalsMots,Mid Wales Motorways
749,ANSL,Phil Anslow
775,OswyComyTras,Oswestry Community Trans
787,ORJons,O R Jones
808,GoorCoas,Goodsir Coaches
826,EFCO,Eifion's Coaches
846,SPCars,SP Cars
888,VileandVals,Village and Valleys